journal_lc	journal_name	if_year	impact_factor	Source
acs chemical biology	ACS Chemical Biology	2023	3.5	Journal Citation Reports
annual review of biochemistry	Annual review of biochemistry	2024	12.1	Journal Citation Reports
annual review of plant biology	Annual review of plant biology	2024	3.9	Journal Citation Reports
applied and environmental microbiology	Applied and Environmental Microbiology	2023	3.9	Journal Citation Reports
biodiversity data journal	Biodiversity Data Journal	2023	1	Journal Citation Reports
biogeosciences	Biogeosciences	2024	3.9	Journal Citation Reports
biorxiv	bioRxiv	N/A	N/A	Journal Citation Reports
bmc bioinformatics	BMC Bioinformatics	2023	2.9	Journal Citation Reports
bmc ecology	BMC Ecology	2023	3.368	Journal Citation Reports
bmc genomics	BMC Genomics	2023	3.5	Journal Citation Reports
bmc microbiology	BMC Microbiology	2023	4	Journal Citation Reports
cell genomics	Cell Genomics	2023	11.1	Journal Citation Reports
communications biology	Communications Biology	2024	5.9	Journal Citation Reports
communications earth & environment	Communications Earth & Environment	2024	8.4	Journal Citation Reports
current biology	Current Biology	2024	10.2	Journal Citation Reports
dataverseno	DataverseNO	N/A	N/A	Journal Citation Reports
developmental biology	Developmental Biology	2023	2.5	Journal Citation Reports
elife	eLife	2023	6.4	Journal Citation Reports
european marine board	European Marine Board	N/A	N/A	Journal Citation Reports
fems microbiology letters	FEMS Microbiology Letters	2023	2.2	Journal Citation Reports
frontiers in ecology and evolution	Frontiers in Ecology and Evolution	2024	2.4	Journal Citation Reports
frontiers in marine science	Frontiers in Marine Science	2023	2.8	Journal Citation Reports
frontiers in microbiology	Frontiers in Microbiology	2023	4	Journal Citation Reports
gigascience	GigaScience	2023	11.8	Journal Citation Reports
isme communications	ISME Communications	2023	5.1	Journal Citation Reports
journal of microbiology & biology education	Journal of Microbiology & Biology Education	2023	1.6	Journal Citation Reports
marine drugs	Marine Drugs	2023	4.9	Journal Citation Reports
marine genomics	Marine Genomics	2023	2.35	Journal Citation Reports
methods in ecology and evolution	Methods in Ecology and Evolution	2023	6.3	Journal Citation Reports
microbial genomics	Microbial Genomics	2023	4	Journal Citation Reports
molecular biology and evolution	Molecular Biology and Evolution	2023	11	Journal Citation Reports
molecular ecology	Molecular Ecology	2023	4.5	Journal Citation Reports
molecular ecology resources	Molecular Ecology Resources	2023	8.7	Journal Citation Reports
molecular phylogenetics and evolution	Molecular Phylogenetics and Evolution	2023	3.6	Journal Citation Reports
nature	Nature	2023	50.5	Journal Citation Reports
nature chemical biology	Nature Chemical Biology	2023	12.9	Journal Citation Reports
nature communications	Nature Communications	2023	14.7	Journal Citation Reports
nature ecology & evolution	Nature ecology & evolution	2023	14.1	Journal Citation Reports
nature microbiology	Nature Microbiology	2023	20.5	Journal Citation Reports
new phytologist	New Phytologist	2023	8.3	Journal Citation Reports
oceans. csic scientific challenges towards	Oceans. CSIC Scientific Challenges Towards	N/A	N/A	Journal Citation Reports
paleoamerica	PaleoAmerica	2023	1.84	Journal Citation Reports
peerj	PeerJ	2023	3.9	Journal Citation Reports
philosophical transactions of the royal society b: biological sciences	Philosophical Transactions of the Royal Society B: Biological Sciences	2023	5.4	Journal Citation Reports
public library of science	PLOS One	2023	2.9	Journal Citation Reports
proceedings of the national academy of sciences	Proceedings of the National Academy of Sciences (PNAS)	2023	9.4	Journal Citation Reports
quaternary science reviews	Quaternary Science Reviews	2023	4.6	Journal Citation Reports
science	Science	2023	44.7	Journal Citation Reports
science of the total environment	Science of the Total Environment	2023	8.4	Journal Citation Reports
scientific data	Scientific Data	2023	5.8	Journal Citation Reports
the febs journal	The FEBS Journal	2023	5.5	Journal Citation Reports
the holocene	The Holocene	2023	1.6	Journal Citation Reports
the isme journal	The ISME Journal	2023	10.8	Journal Citation Reports
tracking environmental change using lake sediments: volume	Tracking Environmental Change Using Lake Sediments: Volume	2023	N/A	Journal Citation Reports
trends in ecology & evolution	Trends in Ecology & Evolution	2023	16.7	Journal Citation Reports